GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 25.06 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,GESAMT Bestätigte ZAHL der Infektionsfälle (Crowdsourced) inc. Epidemiological,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1) Berechtigte,7-Tage Infektionen pro 100.000 Einwohner,Zwischenstand Geprüft,An COVID-19 gestorben,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),RKI Fälle,RKI Genesen,Tests,Cases inc. Epidemiological,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,RKI CHeck,Geschätzt,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Names,Tag vorher,Tag (noch nicht geupdated),Unnamed: 46
Landshut,Kreisfreie Stadt,9261,279,0%,279,,http://www.landshut.de/portal/startseite.html, 279,23/06/2020 00:00, 279,267.0,,,,9.0,24.6.2020 10:00,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@vitavonni,0,,,"-2,8",0,,267.0,280,9.0,279,267,,,,,,,1,267.0,267.0,9.0,23.06.2020,9,1,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,281,281,0
Landshut,Landkreis,9274,673,0%,673,,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a, 673,23/06/2020 00:00, 673,641.0,,,,31.0,24.6.2020 10:00,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@vitavonni,0,,,"1,9",0,,641.0,672,31.0,673,641,,,,,,,1,641.0,641.0,31.0,23.06.2020,9,1,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,670,670,0
Lichtenfels,Landkreis,9478,300,0%,300,,https://www.lkr-lif.de/landratsamt/gesundheit-und-verbraucherschutz/gesundheitswesen/informationen-fuer-die-buerger/coronavirus/index.html, 300,23/06/2020 07:15, 300,263.0,,,,16.0,,https://www.lkr-lif.de/landratsamt/gesundheit-und-verbraucherschutz/gesundheitswesen/informationen-fuer-die-buerger/coronavirus/7419.Aktuelle-Zahlen-zu-den-COVID-19--Erkrankten-und-Geheilten-im-Landkreis-Lichtenfels.html,,0,,,"4,5",0,15.0,263.0,299,16.0,299,272,,,,,,,"0,9636887255",263.0,263.0,16.0,23.06.2020 07:15,9,1,https://www.lkr-lif.de/landratsamt/gesundheit-und-verbraucherschutz/gesundheitswesen/informationen-fuer-die-buerger/coronavirus/7419.Aktuelle-Zahlen-zu-den-COVID-19--Erkrankten-und-Geheilten-im-Landkreis-Lichtenfels.html,297,297,0
Lindau (Bodensee),Landkreis,9776,241,0%,241,,"https://www.landkreis-lindau.de/B%C3%BCrgerservice-Online-Dienste/B%C3%BCrgerservice/Aktuell/index.php?La=1&object=tx,2846.1038.1&kat=&kuo=2&sub=0", 241,23/06/2020 10:00, 241,232.0,,,,8.0,24.6.2020 10:00,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@vitavonni,0,,,"0,0",0,,232.0,241,8.0,240,232,,,,,,,"0,9958506224",232.0,232.0,8.0,23.06.2020,9,0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,241,241,0
Main-Spessart,Landkreis,9677,157,0%,157,,https://www.main-spessart.de/aktuelles/pressemitteilungen/3994.Aktuelle-Informationen-zum-Corona-Virus-aus-dem-Landkreis-Main-Spessart.html, 157,19/06/2020 00:00, 157,148.0, 4,,,6.0,19/06/2020,https://www.main-spessart.de/aktuelles/pressemitteilungen/3994.Aktuelle-Informationen-aus-dem-Landkreis-Main-Spessart.html,,0,,,"0,0",0,,148.0,157,6.0,157,148,,,,,,,1,148.0,148.0,6.0,19/06/2020,9,0,https://www.main-spessart.de/aktuelles/pressemitteilungen/3994.Aktuelle-Informationen-aus-dem-Landkreis-Main-Spessart.html,157,157,0
Memmingen,Kreisfreie Stadt,9764,51,0%,51,,https://www.memmingen.de/aktuell-presse/nachrichten-und-termine/aktuell/singlenews-aktuelles/news/detail/News/aktuelle-zahl-der-infektionen-in-memmingen.html, 51,16/05/2020 00:00, 51,51.0,,,,,16/05/2020,https://www.memmingen.de/,,0,,,"0,0",0,,51.0,51,,51,51,1166.0,,,James,,,1,51.0,51.0,,16/05/2020,9,0,https://www.memmingen.de/aktuell-presse/nachrichten-und-termine/aktuell/singlenews-aktuelles/news/detail/News/aktuelle-zahl-der-infektionen-in-memmingen.html,51,51,0
Miesbach,Landkreis,9182,584,0%,584,,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus, 584,19/06/2020 00:00, 584,569.0,,,,13.0,19/06/2020,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus,,0,,,"0,0",0,,569.0,584,13.0,587,575,,,,,,https://www.facebook.com/LandkreisMiesbach,"0,9946486004",569.0,569.0,13.0,19/06/2020,9,0,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus,584,584,0
Miltenberg,Landkreis,9676,305,0%,305,,https://www.landkreis-miltenberg.de/Landkreis/Aktuell.aspx, 305,23/06/2020 00:00, 305,296.0,,,,5.0,,https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={CE039403-857B-43D6-8740-B3AAE6F4CC29},,0,,,"2,3",0,,296.0,305,5.0,305,296,,,,,,,1,296.0,296.0,5.0,23/06/2020,9,0,https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?view=~/news/archiv&ORGID={D33E8C63-4469-4F2B-9393-CBBA9C9A1906},302,302,0
Mühldorf a. Inn,Landkreis,9183,500,0%,500,,https://www.lra-mue.de/buergerservice/pressestelle/pressemitteilungen-2020.html, 500,19/06/2020 00:00, 500,471.0,,1.0,,27.0,19/06/2020,https://www.lra-mue.de/buergerservice/pressestelle/pressemitteilungen-2020.html,,0,,,"0,0",0,,471.0,500,27.0,499,471,,,,,,,"0,998",471.0,471.0,27.0,19/06/2020,9,0,https://www.lra-mue.de/buergerservice/pressestelle/pressemitteilungen-2020.html,500,500,0
München,Kreisfreie Stadt,9162,6675,0%,6687,,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,6 973,24/06/2020 00:00,6 687,6162.0,,37.0,12.0,217.0,24.06.2020,https://www.muenchen.de/rathaus/Stadtinfos/Coronavirus-Fallzahlen.html,bandur, 12,C6687 G6162 D217 checked 20:48,@helenawittlich,"5,5",1,,6162.0,6624,217.0,6673,6288,,,,,,,"0,9779101698",6162.0,6153.0,217.0,23/06/2020,9,1,https://www.muenchen.de/rathaus/Stadtinfos/Coronavirus-Fallzahlen.html,6593,6606,13
