GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 25.06 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,GESAMT Bestätigte ZAHL der Infektionsfälle (Crowdsourced) inc. Epidemiological,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1) Berechtigte,7-Tage Infektionen pro 100.000 Einwohner,Zwischenstand Geprüft,An COVID-19 gestorben,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),RKI Fälle,RKI Genesen,Tests,Cases inc. Epidemiological,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,RKI CHeck,Geschätzt,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Names,Tag vorher,Tag (noch nicht geupdated),Unnamed: 46
Oberbergischer Kreis,Kreis,5374,491,0%,491,,http://www.obk.de/cms200/aktuelles/sars/aktfall/index.shtml, 491,23/06/2020 00:00, 491,472.0, 2,,,18.0,,http://www.obk.de/cms200/aktuelles/sars/aktfall/,,0,manchmal spät?,,"0,4",0,,472.0,490,18.0,491,472,,,,,,https://www.facebook.com/OberbergischerKreis,1,472.0,472.0,18.0,23/06/2020,5,1,https://www.facebook.com/OberbergischerKreis/photos/pcb.2964658950320481/2964656283654081/?type=3&theater,490,490,0
Oberhausen,Kreisfreie Stadt,5119,277,0%,277,,https://www.oberhausen.de/de/index/rathaus/verwaltung/umwelt-gesundheit-und-mobilitat/gesundheit/aktuelle_informationen/informationen_zum_coronavirus/aktuelle_meldungen.php, 277,24/06/2020 09:00, 277,257.0, 62,3.0,0.0,11.0,24.06.2020 09:00,https://www.oberhausen.de/de/index/rathaus/verwaltung/umwelt-gesundheit-und-mobilitat/gesundheit/aktuelle_informationen/informationen_zum_coronavirus/aktuelle_meldungen.php,@vitavonni,0,C277 G257 D11 19:38,Julia,"3,8",1,,257.0,277,11.0,277,257,11925.0,10320.0,17.6.20,@Thal,,,1,257.0,254.0,11.0,23/06/2020,5,0,https://www.oberhausen.de/de/index/rathaus/verwaltung/umwelt-gesundheit-und-mobilitat/gesundheit/aktuelle_informationen/informationen_zum_coronavirus/aktuelle_meldungen.php,269,269,0
Olpe,Kreis,5966,651,0%,651,,"https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1", 651,23/06/2020 00:00, 651,580.0, 72,1.0,1.0,56.0,24/06/2020,https://www.mags.nrw/coronavirus-fallzahlen-nrw,@vitavonni,0,,,"2,2",0,,580.0,651,56.0,651,583,7260.0,6641.0,20/05/2020,James,,,"0,9948542024",580.0,580.0,56.0,23/06/2020,5,0,https://www.kreis-olpe.de/output/download.php?fid=3125.787.1.PDF,648,648,0
Paderborn,Kreis,5774,697,0%,697,,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/?navid=958049958049, 700,23/06/2020 17:30, 700,614.0,,2.0,1.0,34.0,24.6.2020,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/CoronaUpdate-23-06-2020.php,@vitavonni, 3,"Dashboard, hat aber nicht stationär",,"8,8",0,,614.0,687,34.0,686,634,,,,,https://twitter.com/KreisPaderborn/,,"0,9490851735",614.0,614.0,34.0,23.06.2020 17:30,5,1,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/CoronaUpdate-17-06-2020.php,670,673,3
Recklinghausen,Kreis,5562,1337,1%,1349,,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,1 349,24/06/2020 11:30,1 349,1262.0,,,,39.0,24.6.2020 11:30,https://kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,@vitavonni, 12,C1349 G1262 D39 checked 12:32,@helenawittlich,"6,5",1,,1262.0,1317,39.0,1339,1255,,,,,,,"0,998123444",1262.0,1255.0,39.0,23/06/2020,5,1,https://kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,1306,1309,3
Remscheid,Kreisfreie Stadt,5120,242,0%,242,,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php, 244,22/06/2020 00:00, 244,223.0,,0.0,,18.0,24/06/2020,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php#chapter146380100000143530-1015_sp_main_iterate_1_0,@vitavonni, 2,,,"0,9",0,,223.0,242,18.0,241,219,,,,,,https://www.facebook.com/StadtRemscheid,"1,005745191",223.0,223.0,18.0,22.06.2020,5,1,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php#chapter146380100000143530-1015_sp_main_iterate_1_0,241,241,0
Rhein-Erft-Kreis,Kreis,5362,1111,0%,1112,,https://www.rhein-erft-kreis.de/der-rheinerftkreis-seine-verwaltung/informationen-aktuelles/meldungenpresse,1 112,24/06/2020 00:00,1 112,1020.0, 64,,,76.0,24.6.2020,https://www.rhein-erft-kreis.de/meldungenpresse/artikel/covid19lage-am-24-juni-leichter-anstieg-der-coronafallzahlen,@vitavonni, 1,C1112 G1020 D76 19:42,Julia,"1,3",1,,1020.0,1108,76.0,1110,1023,,,,,,https://de-de.facebook.com/rheinerftkreis,"0,9952741619",1020.0,1020.0,76.0,23/06/2020,5,1,https://www.rhein-erft-kreis.de/meldungenpresse/artikel/covid19lage-am-17-juni-keine-neuinfektion-zahl-der-infizierten-sinkt-auf-12,1106,1106,0
Rhein-Kreis Neuss,Kreis,5162,739,0%,739,,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/index.html, 742,23/06/2020 00:00, 742,697.0, 181,,,20.0,24/06/2020,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/nachrichten/2020/aktuell-25-mit-dem-coronavirus-erkrankte-im-rhein-kreis-neuss/,GSoy, 3,,,"-3,8",0,,697.0,767,20.0,736,695,,,,,,https://www.facebook.com/rheinkreisneuss/,"0,9947681747",697.0,697.0,20.0,23/06/2020,5,1,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/nachrichten/2020/713-erkrankte-wieder-genesen-aktuell-25-mit-dem-coronavirus-erkrankte-im-rhein-kreis-neuss/,756,758,2
Rhein-Sieg-Kreis,Kreis,5382,1461,0%,1461,,https://www.rhein-sieg-kreis.de/verwaltung-politik/presse/index.php,1 461,24/06/2020 00:00,1 461,1402.0, 70,,,49.0,24/06/2020,https://www.rhein-sieg-kreis.de/presseinformationen/2020/Juni/corona-sachstand_1.php,GSoy,0,C1461 G1402 D49 19:41,Julia,"1,0",1,,1402.0,1459,49.0,1461,1390,,,,,,https://de-de.facebook.com/pages/category/County/Rhein-Sieg-Kreis-185392754804367/,"1,008633094",1402.0,1402.0,49.0,23/06/2020,5,1,https://www.rhein-sieg-kreis.de/presseinformationen/2020/Juni/sachstand-corona.php,1456,1455,-1
Rheinisch-Bergischer Kreis,Kreis,5378,472,0%,473,,https://www.rbk-direkt.de/aktuelles.aspx, 473,24/06/2020 00:00, 473,448.0, 19,,,22.0,24/06/2020,https://www.rbk-direkt.de/news/30073/corona-virus-ein-weiterer-bestaetigter-corona-fall-im-rheinisch-bergischen-kreis,GSoy, 1,C473 G448 D22 19:42,Julia,"0,7",1,,448.0,471,22.0,471,449,,,,,,https://www.facebook.com/Rheinisch.Bergischer.Kreis/,"0,9935539159",448.0,448.0,22.0,23/06/2020,5,1,https://www.rbk-direkt.de/news/30055/corona-virus-corona-faelle-im-rheinisch-bergischen-kreis-heute-weiterhin-konstant,471,471,0
Siegen-Wittgenstein,Kreis,5970,315,0%,315,,https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen, 315,22/06/2020 00:00, 315,306.0,,,,8.0,,https://www.siegen-wittgenstein.de/Kreisverwaltung/Themen-und-Projekte/Coronavirus,,0,,,"0,4",0,,306.0,315,8.0,315,306,2500.0,,,,,https://de-de.facebook.com/kreisverwaltungsiwi/,1,306.0,306.0,8.0,22/06/2020,5,0,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/Keine-akut-erkrankten-Coronapatienten-in-Siegen-Wittgenstein-mehr-Die-letzten-beiden-Infizierten-konnten-aus-der-%C3%9Cberwachung-entlassen-werden.php?object=tx,2170.14.1&ModID=7&FID=2170.2676.1&NavID=2170.58&La=1&call=suche",314,314,0
Soest,Kreis,5974,380,0%,380,,https://www.kreis-soest.de/pressemitteilungen/presseservice/index.php, 385,23/06/2020 15:00, 385,356.0,,10.0,3.0,8.0,24.6.2020 14:00,https://www.kreis-soest.de/pressemitteilungen/presseservice/1047339.php,@vitavonni, 5,,,"2,6",0,,356.0,379,8.0,377,356,,,,,,,"0,9792207792",356.0,356.0,8.0,23.6.2020,5,1,https://www.kreis-soest.de/pressemitteilungen/presseservice/1046870.php,372,373,1
Solingen,Kreisfreie Stadt,5122,289,0%,289,,https://www.solingen.de/de/inhalt/coronavirus/, 290,23/06/2020 10:31, 290,245.0, 132,7.0,,9.0,24.6.2020,https://www.solingen.de/de/inhalt/coronavirus-statistik/,@vitavonni, 1,,,"14,4",0,,245.0,288,8.0,289,251,,,,,,https://de-de.facebook.com/klingenstadtsolingen/,"0,9727297706",245.0,245.0,8.0,23.06.2020,5,1,https://www.solingen.de/de/inhalt/coronavirus-statistik/,266,282,16
Städteregion Aachen,Kreis,5334,1994,0%,1994,,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,1 997,22/06/2020 00:00,1 997,1876.0,,,,98.0,24.6.2020 10:30,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,@vitavonni, 3,,,"2,2",0,,1875.0,1991,97.0,1994,1883,,,,,https://twitter.com/presseamtaachen,https://www.facebook.com/unseraachen/,"0,9947858591",1876.0,1875.0,97.0,22/06/2020,5,1,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,1982,1985,3
Steinfurt,Kreis,5566,1342,0%,1342,,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,1 342,23/06/2020 10:00,1 342,1246.0,,,,84.0,24.06.2020 10:00,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,@vitavonni,0,,,"0,7",0,,1244.0,1342,84.0,1339,1245,,,,,,https://de-de.facebook.com/kreis.steinfurt/,"0,9985659478",1246.0,1244.0,84.0,23/06/2020,5,0,https://www.presse-service.de/public/Single.aspx?iid=1046843,1339,1340,1
Unna,Kreis,5978,738,0%,738,,https://www.kreis-unna.de/nachrichten/n/?tx_news_pi1%5Bnews%5D=14220&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=31b36b644c47f5bc4011e1a3e334e130, 745,23/06/2020 15:00, 745,645.0,,0.0,,38.0,24.6.2020 15:00,https://www.kreis-unna.de/nachrichten/n/?tx_news_pi1%5Bnews%5D=14220&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=31b36b644c47f5bc4011e1a3e334e130,@vitavonni, 7,,,"8,6",0,,639.0,724,38.0,730,647,,,,,,,"0,9768368204",645.0,639.0,38.0,23/06/2020 15:00,5,1,https://www.kreis-unna.de/nachrichten/n/?tx_news_pi1%5Bnews%5D=14220&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=31b36b644c47f5bc4011e1a3e334e130,704,708,4
Viersen,Kreis,5166,728,1%,732,,https://www.kreis-viersen.de/, 732,24/06/2020 16:30, 732,675.0, 133,,,37.0,24.6.2020 16:30,http://www.presse-service.de/data.aspx/static/1047350.html,@vitavonni, 4,C732 G675 D37 19:42,Julia,"3,3",1,,675.0,726,37.0,726,675,,,,,,https://www.facebook.com/KreisViersen/,"0,9918032787",675.0,675.0,37.0,23/06/2020,5,1,http://www.presse-service.de/data.aspx/static/1046880.html,721,722,1
Warendorf,Kreis,5570,714,0%,714,,https://www.kreis-warendorf.de/aktuelles/presseinformationen/, 714,23/06/2020 09:00, 714,485.0,,,,20.0,24.6.2020,https://www.kreis-warendorf.de/aktuelles/presseinformationen/fuenf-neuinfektionen-mit-dem-coronavirus/,@vitavonni,0,"5 neue, aber 5 weggezogene! -> Vortag um 5 anpassen",,"68,0",0,,483.0,640,20.0,714,495,,,,,,,"0,9797979798",485.0,483.0,20.0,23/06/2020,5,1,https://www.kreis-warendorf.de/aktuelles/presseinformationen/coronavirus-sechs-weitere-infizierte/,525,531,6
Wesel,Kreis,5170,678,2%,692,,https://www.kreis-wesel.de/de/themen/coronavirus/, 692,24/06/2020 12:00, 692,593.0,,,,25.0,24.6.2020 12:00,https://www.kreis-wesel.de/de/themen/coronavirus/,@vitavonni, 14,C692 G593 D25 checked 15:51,@helenawittlich,"5,4",1,,593.0,669,25.0,675,628,,,,,,https://www.facebook.com/kreiswesel/,"0,9210701926",593.0,590.0,25.0,23/06/2020,5,1,https://www.kreis-wesel.de/de/themen/coronavirus/,666,667,1
Wuppertal,Kreisfreie Stadt,5124,977,0%,977,,https://www.wuppertal.de/presse/meldungen/meldungen-2020/maerz20/zahlen-und-hotline-corona.php, 978,23/06/2020 09:00, 978,854.0, 205,8.0,,86.0,24/06/2020 08:00:00,https://www.wuppertal.de/presse/meldungen/meldungen-2020/maerz20/zahlen-und-hotline-corona.php,@vitavonni, 1,,,"5,6",0,,854.0,968,86.0,979,859,,,,,,,"0,9951958215",854.0,854.0,86.0,23/06/2020,5,1,https://www.wuppertal.de/presse/meldungen/meldungen-2020/maerz20/zahlen-und-hotline-corona.php,957,959,2
Bergstraße,Landkreis,6431,365,0%,365,,https://www.kreis-bergstrasse.de/magazin/magazin.php?menuid=473&topmenu=467, 365,24/06/2020 00:00, 365,351.0,,0.0,0.0,3.0,24.6.20,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7723&menuid=473&topmenu=467,@vitavonni,0,C365 G351 D3 20:50,Maria,"1,9",1,,351.0,364,3.0,364,354,,,,,,,"0,9888089157",351.0,351.0,3.0,23/06/2020,6,1,https://www.kreis-bergstrasse.de/magazin/artikel.php?menuid=473&topmenu=467&artikel=7690,358,360,2
Darmstadt,Kreisfreie Stadt,6411,224,1%,226,,https://www.darmstadt.de/leben-in-darmstadt/informationen-zum-corona-virus, 226,24/06/2020 14:00, 226,204.0,,,,18.0,24.6.2020 14:00,https://soziales.hessen.de/gesundheit/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@vitavonni, 2,C226 D18 20:50,Maria,"1,9",1,,204.0,223,18.0,224,204,,,,,,,"0,9911504425",204.0,204.0,18.0,23.6.2020 14:00,6,1,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,223,223,0
Darmstadt-Dieburg,Landkreis,6432,430,0%,429,,https://perspektive.ladadi.de/index.php?id=137, 429,24/06/2020 00:00, 429,402.0,,3.0,1.0,20.0,24/06/2020,https://perspektive.ladadi.de/index.php?id=137,@vitavonni,- 1,C429 G402 S3 I1 D20 20:50,Maria,"0,7",1,,402.0,427,20.0,430,406,,,,,,,"0,99245582",402.0,401.0,20.0,23/06/2020,6,1,https://perspektive.ladadi.de/index.php?id=137,427,427,0
Frankfurt am Main,Kreisfreie Stadt,6412,1741,0%,1742,,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,1 742,24/06/2020 14:00,1 742,1586.0,,,,64.0,24.6.2020 14:00,https://soziales.hessen.de/gesundheit/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@vitavonni, 1,C1742 D64 20:51,Maria,"7,6",1,,1586.0,1717,64.0,1740,1586,,,,,,,"0,9988518944",1586.0,1586.0,64.0,23.6.2020 00:00,6,1,https://soziales.hessen.de/gesundheit/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,1685,1685,0
Fulda,Landkreis,6631,381,0%,382,,https://www.landkreis-fulda.de/buergerservice/gesundheit/coronavirus-sars-cov-2, 382,24/06/2020 11:40, 382,352.0,,10.0,,12.0,24.6.2020 11:40,https://www.landkreis-fulda.de/buergerservice/gesundheit/coronavirus-sars-cov-2,@vitavonni, 1,C382 G352 S10 D12 20:51,Maria,"2,7",1,,352.0,380,12.0,382,355,4903.0,,10.06.2020,Maria,,,"0,9915492958",352.0,345.0,12.0,22/06/2020,6,1,https://www.landkreis-fulda.de/buergerservice/gesundheit/coronavirus-sars-cov-2,372,376,4
Gießen,Landkreis,6531,248,0%,248,,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus, 248,24/06/2020 00:00, 248,241.0,,1.0,,4.0,24/06/2020,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,@vitavonni,0,C248 G241 S1 D4 20:52,Maria,"0,7",1,,241.0,246,4.0,248,241,,,,,,https://www.facebook.com/LandkreisGiessen/,1,241.0,240.0,4.0,23/06/2020,6,1,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,246,246,0
Groß-Gerau,Landkreis,6433,547,0%,547,,https://www.kreisgg.de/gesundheit/infektionsschutz/coronavirus/, 547,24/06/2020 00:00, 547,512.0, 18,,,15.0,24.6.2020,https://www.kreisgg.de/gesundheit/infektionsschutz/coronavirus/,@vitavonni,0,C547 G512 Q18 D15 20:52,Maria,"4,0",1,,512.0,546,15.0,545,514,,,,,,,"0,9924668692",512.0,509.0,14.0,23/06/2020,6,1,https://www.kreisgg.de/gesundheit/infektionsschutz/coronavirus/,533,536,3
Hersfeld-Rotenburg,Landkreis,6632,290,0%,291,,https://www.hef-rof.de/, 291,24/06/2020 12:00, 291,219.0,,,,22.0,24.6.2020 12:00,https://www.hef-rof.de/,@vitavonni, 1,C291 G219 D22 20:53,Maria,"20,7",1,,219.0,287,22.0,288,226,,,,,,,"0,9590365843",219.0,219.0,22.0,23.06.2020,6,1,https://www.hef-rof.de/,261,266,5
Hochtaunuskreis,Landkreis,6434,288,0%,288,,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Informationen+f%C3%BCr+die+B%C3%BCrger+des+HTK/Aktuelle+Zahlen+aus+dem+Hochtaunuskreis.html, 288,24/06/2020 00:00, 288,280.0,,,,5.0,24.06.2020,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Informationen+f%C3%BCr+die+B%C3%BCrger+des+HTK/Aktuelle+Zahlen+aus+dem+Hochtaunuskreis.html,@vitavonni,0,C288 D5 20:54 G passt nicht,Maria,"0,8",1,,280.0,288,5.0,288,281,,,,,,,"0,9964412811",280.0,284.0,5.0,22.06.2020,6,0,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Informationen+f%C3%BCr+die+B%C3%BCrger+des+HTK/Aktuelle+Zahlen+aus+dem+Hochtaunuskreis.html,286,286,0
Kassel,Kreisfreie Stadt,6611,361,1%,366,,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php, 366,24/06/2020 10:30, 366,315.0,,,,9.0,24/06/2020 10:30:00,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,@vitavonni, 5,C366 G315 D9 20:54,@helenawitrtlich,"13,4",1,,315.0,361,9.0,361,323,,,,,,,"0,9619093539",315.0,315.0,9.0,23/06/2020,6,1,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,335,339,4
Kassel,Landkreis,6633,405,0%,406,,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php, 406,24/06/2020 10:30, 406,360.0,,5.0,1.0,29.0,24/06/2020 10:30:00,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,@vitavonni, 1,C406 G360 S5 I1 D29 20:55,@helenawitrtlich,"3,8",1,,360.0,405,29.0,402,363,,,,,,,"0,9819647437",360.0,360.0,29.0,23/06/2020,6,1,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,396,397,1
Lahn-Dill-Kreis,Landkreis,6532,348,0%,348,,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/, 348,24/06/2020 00:00, 348,325.0, 11,,,22.0,24/06/2020,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,GSoy,0,C348 G325 Q11 D22 20:55,Maria,"0,0",1,18.0,325.0,351,22.0,344,326,,,,,,,"0,9854735209",325.0,325.0,22.0,23/06/2020,6,1,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,348,348,0
Limburg-Weilburg,Landkreis,6533,293,0%,293,,https://www.landkreis-limburg-weilburg.de/, 293,24/06/2020 12:00, 293,285.0, 17,,,7.0,24/06/2020 12:00,https://www.landkreis-limburg-weilburg.de/,GSoy,0,C293 G285 Q17 D7 20:56,Maria,"0,0",1,,285.0,293,7.0,292,285,,,,,,,"0,9965870307",285.0,284.0,7.0,23/06/2020,6,0,https://www.landkreis-limburg-weilburg.de/politik-verwaltung/presse-oeffentlichkeitsarbeit/pressemitteilungen/details/aktuelle-informationen-des-landkreises-limburg-weilburg-zum-corona-virus-87,293,293,0
Main-Kinzig-Kreis,Landkreis,6435,774,0%,775,,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilungen_liste.html, 775,24/06/2020 00:00, 775,704.0,,1.0,,48.0,24/06/2020,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1308480.html,GSoy, 1,C775 G704 S1 D48 20:57,Maria,"3,1",1,,704.0,765,48.0,766,713,,,,,,,"0,9759109623",704.0,704.0,48.0,23/06/2020,6,1,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1299138.html,762,762,0
Main-Taunus-Kreis,Landkreis,6436,369,2%,375,,https://www.mtk.org/Aktuelles-8727.htm, 375,24/06/2020 15:00, 375,339.0,,,,15.0,24/06/2020 15:00,https://www.mtk.org/statics/ds_doc/downloads/20_0624Fallzahlen.pdf,GSoy, 6,C375 G339 D15 20:58,Maria,"5,9",1,,339.0,364,15.0,356,327,,,,,,,"0,9841712538",339.0,339.0,14.0,23/06/2020,6,1,https://www.mtk.org/statics/ds_doc/downloads/20_0617Fallzahlen.pdf,357,361,4
Marburg-Biedenkopf,Landkreis,6534,217,0%,218,,https://www.marburg-biedenkopf.de/dienste_und_leistungen/inhalte/index.php, 218,24/06/2020 00:00, 218,209.0,,1.0,,4.0,24/06/2020,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/06-juni/corona-06/274-2020-Corona-Folgemeldung-93.php,GSoy, 1,C218 G209 S1 D4 20:58,Maria,"1,2",1,,209.0,217,4.0,200,194,,,,,,,"0,9883665942",209.0,208.0,4.0,23/06/2020,6,1,https://www.marburg-biedenkopf.de/soziales_und_gesundheit/hygiene/Coronavirus-Informationen.php,213,215,2
Odenwaldkreis,Landkreis,6437,409,0%,409,,https://www.odenwaldkreis.de/index.php?id=154, 409,24/06/2020 12:00, 409,343.0,,2.0,,62.0,24/06/2020 12:00,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2369&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=1c70521ce10ff895ebeb1575a51efcb2,GSoy,0,C409 G343 S2 D62 20:59,Maria,"1,0",1,,343.0,409,62.0,409,346,,,,,,https://www.facebook.com/odenwaldkreis/,"0,9913294798",343.0,344.0,61.0,22.6.2020,6,0,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2357&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=ec69a9e7f49c60e7b20ac5aa31e59ace,407,408,1
Offenbach,Landkreis,6438,672,0%,675,,https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona, 675,24/06/2020 00:00, 675,578.0,,4.0,,40.0,24/06/2020,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Corona-Drei-Neuinfektionen-im-Kreis.php?object=tx,2896.5&ModID=7&FID=2896.9097.1&NavID=2896.1061&La=1",GSoy, 3,C675 G578 S4 D40 21:00,Maria,"9,0",1,,578.0,672,40.0,672,597,,,,,,,"0,9638712079",578.0,571.0,40.0,23/06/2020,6,1,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Corona-Zahl-der-Erkrankten-in-Kliniken-stabil.php?object=tx,2896.5&ModID=7&FID=2896.9082.1&NavID=2896.1061&La=1",643,643,0
Offenbach am Main,Kreisfreie Stadt,6413,180,2%,183,,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/corona/coronavirus_meldungen.php, 183,24/06/2020 00:00, 183,150.0, 134,1.0,,9.0,24/06/2020,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/corona/coronavirus_meldungen.php,GSoy, 3,C183 G150 Q134 S1 D9 21:00,Maria,"10,9",1,,150.0,175,9.0,179,156,,,,,,,"0,9405212274",150.0,150.0,9.0,23.06.2020,6,1,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/corona/coronavirus_meldungen.php,165,169,4
Rheingau-Taunus-Kreis,Landkreis,6439,254,0%,254,,https://www.rheingau-taunus.de/corona, 254,24/06/2020 14:00, 254,243.0,,,,7.0,24.6.2020 14:00,https://soziales.hessen.de/gesundheit/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@vitavonni,0,C254 D7 21:00,Maria,"0,5",1,5.0,243.0,254,7.0,248,239,,,,,,https://www.facebook.com/RheingauTaunusKreis/,"0,9927190064",243.0,243.0,7.0,23.6.2020 14:00,6,0,https://www.rheingau-taunus.de/corona,253,253,0
Schwalm-Eder-Kreis,Landkreis,6634,534,0%,534,534.0,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?, 534,24/06/2020 14:30, 534,488.0,,,,37.0,24.6.2020 14:30,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,GSoy,0,C534 G488 D37 21:01,Maria,"1,7",1,,488.0,532,37.0,532,488,,,,,,,"0,9962546816",488.0,488.0,37.0,23.6.2020 14:30,6,1,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,530,531,1
