GEN,BEZ,Coronavirus Infektionen / Coronavirus Cases,Main Source / Hauptquelle,Crowdsourced Infektionen,Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) (Man kann =JETZT() oder =NOW() benutzen",Unnamed: 10,Contributor,Crowdsourced Infektionen.1,Zeit,Main Source / Hauptquelle.1,Contributor.1,Crowdsourced Infektionen.2,Zeit.1,Main Source / Hauptquelle.2,Contributor.2
Neumarkt i.d. OPf.,Landkreis,11,https://www.landkreis-neumarkt.de/hp794/Aktuelles.htm,17,,,,,18/03/2020 20:40,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,,,,,,,,
Neumünster,Kreisfreie Stadt,1,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,1,,,,,,,,,,,,,,,
Neunkirchen,Landkreis,13,https://www.neunkirchen.de/index.php?id=corona,22,,,,,,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,,,,,,,,,
Neustadt a.d. Aisch-Bad Windsheim,Landkreis,4,https://www.kreis-nea.de/amt-verwaltung/veroeffentlichungen/aktuelles.html,4,,,,,18/03/2020 20:40,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,,,,,,,,
Neustadt a.d. Waldnaab,Landkreis,1,https://www.facebook.com/Landratsamt.Neustadt.WN,2,,,,,18/03/2020 20:40,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,,,,,,,,
Neustadt an der Weinstraße,Kreisfreie Stadt,5,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,7,,,,,18/03/2020,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,,,,,,,,,
Neuwied,Landkreis,36,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,36,,,,,,,,,,,,,,,
Nienburg (Weser),Landkreis,6,https://www.niedersachsen.de/Coronavirus,6,,,,,,,,,,,,,,,
Nordfriesland,Kreis,2,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,2,,,,,,,,,,,,,,,
Nordhausen,Landkreis,2,https://www.landratsamt-nordhausen.de/informationen-coronavirus.html,2,,,,,,,,,,,,,,,
Nordsachsen,Landkreis,6,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,6,,,,,,,,,,,,,,,
Nordwestmecklenburg,Landkreis,3,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,3,,,,,,,,,,,,,,,
Northeim,Landkreis,7,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,7,,,,,,,,,,,,,,,
Nürnberg,Kreisfreie Stadt,28,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,53,,,,,,,,,,,,,,,
Nürnberger Land,Landkreis,7,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,23,,,,,18/03/2020 15:30,https://landkreis.nuernberger-land.de/index.php?id=6079,,,,,,,,,
Oberallgäu,Landkreis,33,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,35,,,,,18/03/2020 21:50,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,,,,,,,,
Oberbergischer Kreis,Kreis,50,http://www.oberbergischer-kreis.de/cms200/startseite/,50,,,,,,,,,,,,,,,
Oberhausen,Kreisfreie Stadt,13,https://www.oberhausen.de/de/index.php,18,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,
Oberhavel,Landkreis,5,https://www.oberhavel.de/B%C3%BCrgerservice/Gesundheit/Aktuelles-zum-Coronavirus,5,,,,,,,,,,,,,,,
