GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Cloppenburg,Landkreis,3453,97.0,0%,97,,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,https://lkclp.de/aktuelles-presse/pressemitteilungen.php?aid=3414,24/04/2020 00:00, 97,77.0, 85,6.0,,,24/04/2020,https://lkclp.maps.arcgis.com/apps/opsdashboard/index.html#/4d10267e59244792b3b911aa34850db6,Johannes,0,C97 G77 Q85 S6 19:52,Maria,Stain Fels,1,,77.0,96,,120.0,,,,,,,https://www.facebook.com/stadtcloppenburg,,60,77.0,,23/04/2020 00:00,3,1.0,https://lkclp.de/aktuelles-presse/pressemitteilungen.php?aid=3414
Cuxhaven,Landkreis,3352,88.0,5%,92,,https://www.landkreis-cuxhaven.de/Corona,"https://www.landkreis-cuxhaven.de/Corona/Aktuelle-Informationen-des-Landkreises-Cuxhaven-zum-Thema-Corona-Virus-.php?object=tx,2736.6&ModID=7&FID=3189.930.1&NavID=3189.26&La=1",24/04/2020 00:00, 92,64.0,,7.0,1.0,6.0,24/04/2020,"https://www.landkreis-cuxhaven.de/Corona/Aktuelle-Informationen-des-Landkreises-Cuxhaven-zum-Thema-Corona-Virus-.php?object=tx,2736.6&ModID=7&FID=3189.940.1&NavID=3189.26&La=1",James, 4,C92 G64 S7 I1 D6 19:25,Johannes,Maria,1,,64.0,85,6.0,,,,,,,,,2.0,70,63.0,5.0,23/04/2020,3,1.0,"https://www.landkreis-cuxhaven.de/Corona/Aktuelle-Informationen-des-Landkreises-Cuxhaven-zum-Thema-Corona-Virus-.php?object=tx,2736.6&ModID=7&FID=3189.930.1&NavID=3189.26&La=1"
Delmenhorst,Kreisfreie Stadt,3401,41.0,0%,41,,https://www.delmenhorst.de/aktuelles/coronavirus.php,https://www.delmenhorst.de/aktuelles/coronavirus.php,24/04/2020 00:00, 41,24.0, 63,5.0,2.0,2.0,24/04/2020,https://www.delmenhorst.de/aktuelles/coronavirus.php,@distanzreiter,0,C41 G24 Q63 S5 I2 D2 17:39,Stain Fels,Johannes,1,,24.0,40,2.0,45.0,,,,,,,,1.0,27,24.0,2.0,23/04/2020 13:30,3,1.0,https://www.delmenhorst.de/aktuelles/coronavirus.php
Diepholz,Landkreis,3251,323.0,2%,331,,https://www.diepholz.de/portal/meldungen/uebersicht-0-21750.html?titel=Aktuelle+Meldungen,https://www.diepholz.de/portal/meldungen/ein-weiterer-todesfall-in-zusammenhang-mit-covid-19-900005110-21750.html?rubrik=900000022,24/04/2020 00:00, 331,244.0, 140,18.0,3.0,21.0,24/04/2020,https://www.diepholz.de/portal/meldungen/acht-neue-covid-19-infektionen-im-landkreis-diepholz-900005116-21750.html?rubrik=900000022,Johannes, 8,C331 G244 Q140 S18 I3 D21 19:53,Maria,Stain Fels,1,,244.0,317,21.0,250.0,,,,,,,,7.0,247,241.0,21.0,23/04/2020 00:00,3,1.0,https://www.diepholz.de/portal/meldungen/ein-weiterer-todesfall-in-zusammenhang-mit-covid-19-900005110-21750.html?rubrik=900000022
Emden,Kreisfreie Stadt,3402,16.0,0%,16,,https://www.emden.de/,https://www.emden.de/,24/04/2020 00:00, 16,14.0, 17,,,,24.04.2020,https://www.emden.de/aktuell/2404-keine-weiteren-faelle-bestaetigt,@Elvte_76,0,C16 G14 Q17 D0 17:42,Stain fels,Johannes,1,,14.0,16,,27.0,,,,,,,,,14,14.0,,23/04/2020 13:00,3,0.0,https://www.emden.de/
Emsland,Landkreis,3454,379.0,1%,384,384.0,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,24/04/2020 10:00, 384,270.0, 350,,,16.0,24/04/2020 10:00,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,@Elvte_76, 5,384 C 270 G 16 D 350 Q Checked 17:43,Johannes,@plateauton,1,,270.0,374,16.0,570.0,,,,,,,https://www.facebook.com/landkreisemsland,3.0,244,251.0,15.0,23/04/2020 11:00,3,1.0,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html
Friesland,Landkreis,3455,31.0,0%,31,,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,24/04/2020 00:00, 31,27.0, 3,,,1.0,24/04/2020,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,@distanzreiter,0,c31 g27 Q3 D1 17:43,Johannes,Maria,1,,27.0,31,1.0,,,,,,,,https://www.facebook.com/LandkreisFRI/,,24,24.0,1.0,23/04/2020 00:00,3,0.0,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006
Gifhorn,Landkreis,3151,123.0,1%,124,,https://www.gifhorn.de/der-landkreis/presseportal/presseinformationen/,https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-informationen-zum-coronavirus-18/,24/04/2020 18:49, 124,77.0, 192,,,4.0,24.04.2020 18:49,https://www.gifhorner-rundschau.de/gifhorn/article228721517/corona-gifhorn-anzahl-infizierte-geschaefte-bus-bahn-infos-informationen-fakten.html,@Elvte_76, 1,C127 G77 D10 19:24,Johannes,Maria,1,,77.0,122,4.0,192.0,,,,,,,https://www.facebook.com/LKGifhorn/,,107,77.0,4.0,23/04/2020,3,1.0,https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-informationen-zum-coronavirus-18/
Goslar,Landkreis,3153,183.0,-3%,178,,https://www.landkreis-goslar.de/startseite.phtml,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,24/04/2020 00:00, 178,81.0, 263,3.0,,10.0,24/04/2020,https://www.landkreis-goslar.de/showobject.phtml?La=1&object=tx|94.13602.1,@distanzreiter,- 5,C178  G81 Q263 17:43 D10 laut Landesmin,Stain Fels,Johannes,1,,81.0,166,10.0,389.0,,,,,,,https://www.facebook.com/thomasbrych.de,3.0,90,59.0,10.0,23/04/2020,3,1.0,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/
Göttingen,Landkreis,3159,740.0,1%,746,,https://www.goettingen.de/aktuelles/coronavirus-das-gesundheitsamt-informiert-2020-02-17.html,https://www.goettingen.de/aktuelles/736-covid-19-infektionen-in-stadt-und-landkreis-2020-04-22.html,24/04/2020 00:00, 746,372.0,,,,43.0,24/04/2020,https://www.goettingen.de/aktuelles/746-bestaetigte-covid-19-infektionen-2020-04-24.html,@Colonia Claudia, 6,C746 G372 D43 18:40,Johannes,Maria,1,,372.0,736,43.0,1738.0,,,,,,,,10.0,399,342.0,39.0,23/04/2020,3,1.0,https://www.goettingen.de/aktuelles/736-covid-19-infektionen-in-stadt-und-landkreis-2020-04-22.html
